&c.	etc.
2d.	twopence
6d.	sixpence
'a	he
abaht	about
a-bakin'	baking
a-balancing	balancing
a-batfowling	batfowling
Abbén	Abbé
abbominable	abominable
a-be	be
a-bed	abed
a-begging	begging
abhominable	abominable
abhorredst	abhorredest
a-billing	billing
a-bin	been
a-birding	birding
a-bleatin'i'	bleating
ableeding	bleeding
aboot	about
abound'st	aboundest
a-breeding	breeding
a-brewing	brewing
a-bringin'	bringing
abrook	brook
abt	about
a-capering	capering
a-carrying	carrying
accompt	account
accordeth	accords
accordin'	according
accountant-General	accountant-general
accountedst	accountedest
accoutred	accoutered
accurs'd	accursed
accurst	accursed
accuseth	accuses
a-chasing	chasing
Achilles's	Achilles'
achin'	aching
'ack hack
'ackney hackney
'ackney-coach	hackney-coach
'ackney-coachman	hackney-coachman
a-cold	cold
a-comin'	coming
a-coming	coming
acquintance	acquaintance
acquit	acquitted
acrost	across
a-cryin'	crying
a-crying	crying
a-cursing	cursing
'ad	had
ADAM	Adam
addeth	adds
ADDISON	Addison
adieux	adieus
a-doin	doing
a-doing	doing
adolescence'	adolescence's
Adon	Adonis
Adons	Adonis
adoreth	adores
a-doting	doting
adown	down
a-down	down
adown-a	down
a-down-a	down
a-dressing	dressing
ADRIANO	Adriano
a-driving	driving
a-dropping	dropping
a-ducking	ducking
advanc'd	advanced
a-dyin'	dying
a-dying	dying
ae	a
AEacida	Aeacida
AEacides	Aeacides
aEdiles	aediles
aEgle	aegle
AEneas	Aeneas
AEneas'	Aeneas'
AEolus	Aeolus
AEsculapius	Aesculapius
AEson	Aeson
AEsop	Aesop
AEtna	Aetna
afeared	afeard
a-feasting	feasting
aff	off
affaires	affairs
affecteth	affects
affeered	afeard
AFFGHANISTAN	Afghanistan
affordeth	affords
a-findin'	finding
a-finding	finding
afsd	aforesaid
aften	often
after-dinner's	afterdinner's
after-times	aftertimes
afterward	afterwards
after-wards	afterwards
aft'noon	afternoon
again'	against
againe	again
agazed	gazed
a'getten	got
ageyn	against
aggravatin'	aggravating
aggravatinest	aggravatingest
aggriefed	aggrieved
aght	ought
ag'in	again
agin'	against
a-giving	giving
agoin'	going
a-goin'	going
agoing	going
a-going	going
agone	ago
agonie	agony
agoo	ago
a-groaning	groaning
a-growing	growing
AGUECHEEK	Aguecheek
agwine	going
ah!	ah
aha!	aha
AHAB	Ahab
AHAB'S	Ahab's
a-hanging	hanging
a-height	height
a-high	high
a-hold	ahold
a-hooting	hooting
ahr	our
aht	out
a-hungry	hungry
aides-de-Camp	aides-de-camp
aim'st	aimest
ain	own
ain't	aren't
'air-dresser hair-dresser
airley	early
'airs	hairs'
aitch	each
Ajax'	Ajax's
a-killing	killing
a-kissing	kissing
al	all
alane	alone
alarum	alarm
alarum-bell	alarm-bell
alarumed	alarmed
alarums	alarms
a-laughing	laughing
al'ays	always
Al'ce	Alice
a'lee	alee
ale-house	alehouse
alehouse'	ale-house's
ale-houses	alehouses
ale-wife	alewife
'alf half
'alf-a-crown half-a-crown
'alfcrown halfcrown
'alf-crown half-crown
'alf-hour half-hour
'alfpenny halfpenny
'alfpound halfpound
Alisander	Alexander
allarms	alarms
allas	always
all-hallond	all-hallow
all-hallown	all-hallow
allicholy	melancholy
all-Seer	all-seer
